Date,BND,SPY,TSLA
2015-01-02,60.3859748840332,170.58958435058594,14.620667457580566
2015-01-05,60.56130599975586,167.50881958007812,14.005999565124512
2015-01-06,60.736690521240234,165.9311065673828,14.085332870483398
2015-01-07,60.773193359375,167.99871826171875,14.063332557678223
2015-01-08,60.678218841552734,170.9799041748047,14.041333198547363
2015-01-09,60.780540466308594,169.6097869873047,13.77733325958252
2015-01-12,60.860923767089844,168.28106689453125,13.480667114257812
2015-01-13,60.91931915283203,167.8077392578125,13.616666793823242
2015-01-14,61.05815887451172,166.79469299316406,12.845999717712402
2015-01-15,61.32847213745117,165.2667236328125,12.791333198547363
2015-01-16,61.145809173583984,167.43411254882812,12.871333122253418
2015-01-20,61.08009719848633,167.7911376953125,12.795332908630371
2015-01-21,60.963172912597656,168.63816833496094,13.104666709899902
2015-01-22,60.977787017822266,171.14598083496094,13.441332817077637
2015-01-23,61.17504119873047,170.20761108398438,13.419333457946777
2015-01-26,61.10198211669922,170.6062469482422,13.770000457763672
2015-01-27,61.13851547241211,168.3558349609375,13.732000350952148
2015-01-28,61.357723236083984,166.19677734375,13.291333198547363
2015-01-29,61.29193115234375,167.73304748535156,13.680000305175781
2015-01-30,61.62805938720703,165.62380981445312,13.573332786560059
2015-02-02,61.554832458496094,167.67494201660156,14.062666893005371
2015-02-03,61.36445617675781,170.09970092773438,14.557332992553711
2015-02-04,61.386444091796875,169.4519805908203,14.569999694824219
2015-02-05,61.25467300415039,171.16259765625,14.732666969299316
2015-02-06,60.85933303833008,170.68923950195312,14.490667343139648
2015-02-09,60.8373908996582,169.92532348632812,14.498666763305664
2015-02-10,60.7275505065918,171.73553466796875,14.419333457946777
2015-02-11,60.7275505065918,171.83518981933594,14.186667442321777
2015-02-12,60.756866455078125,173.4877166748047,13.525333404541016
2015-02-13,60.61777114868164,174.20188903808594,13.584667205810547
2015-02-17,60.3761100769043,174.47589111328125,13.623332977294922
2015-02-18,60.544532775878906,174.49249267578125,13.630666732788086
2015-02-19,60.4932746887207,174.36788940429688,14.11400032043457
2015-02-20,60.50791931152344,175.41419982910156,14.473999977111816
2015-02-23,60.63237380981445,175.38938903808594,13.822667121887207
2015-02-24,60.88127517700195,175.8875732421875,13.607333183288574
2015-02-25,60.939857482910156,175.73817443847656,13.583999633789062
2015-02-26,60.771507263183594,175.53053283691406,13.812666893005371
2015-02-27,60.82274627685547,174.93263244628906,13.555999755859375
2015-03-02,60.626121520996094,176.03701782226562,13.155332565307617
2015-03-03,60.552799224853516,175.31455993652344,13.303999900817871
2015-03-04,60.552799224853516,174.57553100585938,13.496000289916992
2015-03-05,60.58946990966797,174.76658630371094,13.375332832336426
2015-03-06,60.23735809326172,172.3085479736328,12.925333023071289
2015-03-09,60.31071090698242,173.02267456054688,12.725333213806152
2015-03-10,60.545448303222656,170.21588134765625,12.687999725341797
2015-03-11,60.611473083496094,169.81732177734375,12.916000366210938
2015-03-12,60.65547180175781,171.97640991210938,12.73799991607666
2015-03-13,60.5968017578125,170.9217987060547,12.578666687011719
2015-03-16,60.71419143676758,173.2053680419922,13.046667098999023
2015-03-17,60.76551818847656,172.69053649902344,12.982000350952148
2015-03-18,61.13960647583008,174.76658630371094,13.380666732788086
2015-03-19,60.95620346069336,173.96937561035156,13.043333053588867
2015-03-20,61.11761474609375,175.50497436523438,13.20533275604248
2015-03-23,61.14695739746094,175.16297912597656,13.308667182922363
2015-03-24,61.249637603759766,174.17872619628906,13.447999954223633
2015-03-25,61.15425491333008,171.6262969970703,12.953332901000977
2015-03-26,60.95620346069336,171.21766662597656,12.694000244140625
2015-03-27,61.014915466308594,171.60968017578125,12.333333015441895
2015-03-30,61.088260650634766,173.70327758789062,12.704667091369629
2015-03-31,61.15425491333008,172.18521118164062,12.584667205810547
2015-04-01,61.39760971069336,171.57632446289062,12.505999565124512
2015-04-02,61.316749572753906,172.19351196289062,12.733332633972168
2015-04-06,61.36819839477539,173.35299682617188,13.539999961853027
2015-04-07,61.40497970581055,172.8941650390625,13.550000190734863
2015-04-08,61.360877990722656,173.4780731201172,13.844667434692383
2015-04-09,61.22850036621094,174.24542236328125,14.005999565124512
2015-04-10,61.199127197265625,175.19627380371094,14.0600004196167
2015-04-13,61.213844299316406,174.40396118164062,13.985333442687988
2015-04-14,61.324127197265625,174.7375946044922,13.830666542053223
2015-04-15,61.38288497924805,175.52166748046875,13.85533332824707
2015-04-16,61.36819839477539,175.4716033935547,13.779999732971191
2015-04-17,61.471134185791016,173.45310974121094,13.78600025177002
2015-04-20,61.40497970581055,175.0378875732422,13.684666633605957
2015-04-21,61.331451416015625,174.82933044433594,13.96066665649414
2015-04-22,61.103538513183594,175.68846130371094,14.629332542419434
2015-04-23,61.2211799621582,176.13059997558594,14.573332786560059
2015-04-24,61.316749572753906,176.53919982910156,14.562000274658203
2015-04-27,61.272640228271484,175.80526733398438,15.436667442321777
